Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2003","2003","1000 ha","275.3856","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2004","2004","1000 ha","273.5932","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2005","2005","1000 ha","275.8901","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2006","2006","1000 ha","277.2209","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2007","2007","1000 ha","279.9149","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2008","2008","1000 ha","286.2473","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2009","2009","1000 ha","289.3492","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2010","2010","1000 ha","290.7444","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2011","2011","1000 ha","286.9986","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2012","2012","1000 ha","287.224","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2013","2013","1000 ha","286.0541","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2014","2014","1000 ha","287.0094","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2015","2015","1000 ha","289.1023","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2016","2016","1000 ha","290.9054","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6971","Herbaceous crops","2017","2017","1000 ha","292.5046","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1992","1992","1000 ha","502.1061","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1993","1993","1000 ha","500.9037","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1994","1994","1000 ha","499.4911","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1995","1995","1000 ha","494.4612","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1996","1996","1000 ha","490.1582","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1997","1997","1000 ha","486.4617","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1998","1998","1000 ha","486.296","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","1999","1999","1000 ha","486.2565","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2000","2000","1000 ha","483.5087","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2001","2001","1000 ha","478.8747","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2002","2002","1000 ha","469.7832","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2003","2003","1000 ha","460.3897","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2004","2004","1000 ha","451.5094","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2005","2005","1000 ha","451.8755","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2006","2006","1000 ha","451.9876","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2007","2007","1000 ha","452.6316","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2008","2008","1000 ha","452.2644","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2009","2009","1000 ha","451.5265","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2010","2010","1000 ha","452.5664","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2011","2011","1000 ha","453.6685","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2012","2012","1000 ha","453.4865","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2013","2013","1000 ha","453.1588","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2014","2014","1000 ha","454.5054","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6971","Herbaceous crops","2015","2015","1000 ha","455.2149","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2001","2001","1000 ha","15.2356","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2002","2002","1000 ha","15.851","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2003","2003","1000 ha","15.7015","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2004","2004","1000 ha","15.682","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2005","2005","1000 ha","15.8932","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2006","2006","1000 ha","15.8704","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2007","2007","1000 ha","16.1092","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2008","2008","1000 ha","16.5563","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2009","2009","1000 ha","17.1044","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2010","2010","1000 ha","17.2506","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2011","2011","1000 ha","17.1247","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2012","2012","1000 ha","17.3558","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2013","2013","1000 ha","17.4664","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2014","2014","1000 ha","18.3522","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2015","2015","1000 ha","18.0066","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2016","2016","1000 ha","18.2762","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6972","Woody crops","2017","2017","1000 ha","18.3766","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1992","1992","1000 ha","28.8084","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1993","1993","1000 ha","28.3507","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1994","1994","1000 ha","27.8819","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1995","1995","1000 ha","27.5221","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1996","1996","1000 ha","27.2504","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1997","1997","1000 ha","26.811","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1998","1998","1000 ha","27.5329","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","1999","1999","1000 ha","27.4748","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2000","2000","1000 ha","28.2678","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2001","2001","1000 ha","27.9558","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2002","2002","1000 ha","27.614","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2003","2003","1000 ha","26.2498","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2004","2004","1000 ha","25.8799","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2005","2005","1000 ha","26.0312","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2006","2006","1000 ha","25.8755","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2007","2007","1000 ha","26.0491","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2008","2008","1000 ha","26.1585","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2009","2009","1000 ha","26.6912","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2010","2010","1000 ha","26.8519","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2011","2011","1000 ha","27.0696","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2012","2012","1000 ha","27.4024","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2013","2013","1000 ha","27.6698","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2014","2014","1000 ha","29.0623","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5008","Area from CCI_LC","6972","Woody crops","2015","2015","1000 ha","28.3528","FC","Calculated data"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2001","2001","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2002","2002","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2003","2003","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2004","2004","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2005","2005","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2006","2006","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2007","2007","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2008","2008","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2009","2009","1000 ha","","NV","Data not available"
"LC","Land Cover","211","Switzerland","5007","Area from MODIS","6973","Multiple or layered crops","2010","2010","1000 ha","","NV","Data not available"
